label,seed,n_patterns,n_vertices,cluster_count,close_pattern_distance,noise_levels,missing_levels,candidate_pool_size,population_size,n_generations,evaluated_topologies,pareto_count,close_pair_count,patterns_with_close_neighbors,h3_test_count,best_accuracy,best_robustness,best_discrimination,mean_accuracy,random_mean_accuracy,random_best_accuracy,baseline_best_accuracy,random_mean_discrimination,random_best_discrimination,baseline_best_discrimination,best_solution_hyperedge_count,best_solution_density,best_solution_average_size,h1_vs_random_mean,h1_vs_random_best,h2_has_ranges,h3_vs_best_baseline,h3_bit_accuracy,h3_index_accuracy,h3_close_confusion,h3_far_confusion
complexity_easy,501,18,32,3,4,"[0.0, 0.05]",[0.0],28,6,2,12,2,5,8,16,1.0,1.0,1.0,0.9973958333333333,0.9965277777777777,1.0,1.0,1.0,1.0,1.0,13.0,0.4642857142857143,2.6923076923076925,True,False,True,False,1.0,1.0,0.0,0.0
complexity_medium,502,24,32,3,6,"[0.0, 0.1, 0.2]","[0.0, 0.2]",34,8,2,16,2,12,14,84,0.9762286324786326,0.9762286324786326,0.9166666666666666,0.9745259081196581,0.9567975427350427,0.9682825854700856,0.9682825854700856,0.8293650793650794,0.8809523809523809,0.8809523809523809,9.0,0.2647058823529412,2.6666666666666665,True,True,True,True,0.9799107142857143,0.9166666666666666,0.023809523809523808,0.05952380952380952
complexity_hard,503,30,40,4,8,"[0.0, 0.15, 0.3]","[0.0, 0.2, 0.35]",42,8,2,16,2,8,11,99,0.9263425925925924,0.9263425925925924,0.7272727272727273,0.9249136396011395,0.9153792735042735,0.9177742165242165,0.9177742165242165,0.7205387205387206,0.7575757575757576,0.7575757575757576,15.0,0.35714285714285715,2.2,True,True,True,False,0.9095959595959595,0.7171717171717171,0.04040404040404041,0.24242424242424243
budget_small,610,24,32,3,6,"[0.0, 0.1, 0.2]","[0.0, 0.2]",34,5,1,5,1,11,15,90,0.9644764957264957,0.9644764957264957,0.9222222222222223,0.9644764957264957,0.9610599180911681,0.9649439102564104,0.9649439102564104,0.8851851851851852,0.9111111111111111,0.9111111111111111,15.0,0.4411764705882353,2.2,True,False,True,True,0.98125,0.9222222222222223,0.03333333333333333,0.044444444444444446
budget_medium,610,24,32,3,6,"[0.0, 0.1, 0.2]","[0.0, 0.2]",34,7,2,14,2,11,15,90,0.9655114850427352,0.9655114850427352,0.9,0.9623230502136753,0.9627292556980057,0.9699185363247863,0.9699185363247863,0.8888888888888888,0.9111111111111111,0.9111111111111111,13.0,0.38235294117647056,2.1538461538461537,False,False,True,False,0.9701388888888889,0.8888888888888888,0.022222222222222223,0.08888888888888889
budget_large,610,24,32,3,6,"[0.0, 0.1, 0.2]","[0.0, 0.2]",34,9,3,27,3,11,15,90,0.971587873931624,0.971587873931624,0.9222222222222223,0.9681267806267805,0.9703970797720798,0.983573717948718,0.983573717948718,0.9185185185185185,0.9555555555555556,0.9555555555555556,7.0,0.20588235294117646,2.4285714285714284,False,False,True,False,0.9763888888888889,0.9111111111111111,0.03333333333333333,0.05555555555555555
hyperedge_ordinary,720,24,32,3,6,"[0.0, 0.1, 0.2]","[0.0, 0.2]",34,7,2,14,4,12,13,78,0.9763287927350428,0.9763287927350428,0.9230769230769231,0.9755358573717949,0.9686053240740741,0.9792334401709402,0.9792334401709402,0.858974358974359,0.8974358974358975,0.8974358974358975,17.0,0.5,2.2941176470588234,True,False,True,True,0.9823717948717948,0.9230769230769231,0.038461538461538464,0.038461538461538464
hyperedge_strong_hyperedge,720,24,32,3,6,"[0.0, 0.1, 0.2]","[0.0, 0.2]",34,7,2,14,4,12,13,78,0.973758012820513,0.973758012820513,0.9230769230769231,0.9723891559829061,0.9649550391737892,0.9700186965811964,0.9700186965811964,0.8504273504273504,0.8717948717948718,0.8974358974358975,13.0,0.38235294117647056,2.4615384615384617,True,True,True,True,0.9759615384615384,0.8974358974358975,0.05128205128205128,0.05128205128205128
hyperedge_strong_hyperedge_same_penalty,720,24,32,3,6,"[0.0, 0.1, 0.2]","[0.0, 0.2]",34,7,2,14,5,12,13,78,0.9700186965811967,0.9700186965811967,0.8974358974358975,0.9678685897435898,0.9649550391737892,0.9700186965811964,0.9700186965811964,0.8504273504273504,0.8717948717948718,0.8846153846153846,16.0,0.47058823529411764,2.25,True,True,True,True,0.9711538461538461,0.8846153846153846,0.05128205128205128,0.0641025641025641
hyperedge_strong_hyperedge_weak_penalty,720,24,32,3,6,"[0.0, 0.1, 0.2]","[0.0, 0.2]",34,7,2,14,5,12,13,78,0.9700186965811967,0.9700186965811967,0.8974358974358975,0.9678685897435898,0.9649550391737892,0.9700186965811964,0.9700186965811964,0.8504273504273504,0.8717948717948718,0.8846153846153846,16.0,0.47058823529411764,2.25,True,True,True,True,0.9711538461538461,0.8846153846153846,0.05128205128205128,0.0641025641025641
