edge_id,symbols,size,joint_activation_frequency
0,0 27,2,0.25
1,0 15,2,0.25
2,11 18,2,0.25
3,11 31,2,0.25
4,15 26,2,0.25
5,15 27,2,0.25
6,12 30,2,0.20833333333333334
7,17 30,2,0.20833333333333334
8,0 26,2,0.20833333333333334
9,26 27,2,0.20833333333333334
10,0 26 27,3,0.20833333333333334
11,11 16,2,0.20833333333333334
12,18 31,2,0.20833333333333334
13,11 18 31,3,0.20833333333333334
14,17 20,2,0.20833333333333334
15,0 15 27,3,0.20833333333333334
16,11 24,2,0.20833333333333334
17,5 15,2,0.20833333333333334
18,12 17,2,0.16666666666666666
19,12 25,2,0.16666666666666666
20,12 28,2,0.16666666666666666
21,21 25,2,0.16666666666666666
22,28 30,2,0.16666666666666666
23,11 22,2,0.16666666666666666
24,21 27,2,0.16666666666666666
25,1 16,2,0.16666666666666666
26,15 16,2,0.16666666666666666
27,16 31,2,0.16666666666666666
28,11 16 31,3,0.16666666666666666
29,17 22,2,0.16666666666666666
30,20 23,2,0.0
31,2 22 25,3,0.0
32,22 24 29,3,0.0
33,3 14 26,3,0.0
34,25 28,2,0.08333333333333333
35,14 16 24,3,0.041666666666666664
36,17 28,2,0.08333333333333333
37,5 8 19 24,4,0.0
38,14 30,2,0.0
39,6 11 22 29,4,0.0
