edge_id,symbols,size,joint_activation_frequency
0,0 27,2,0.23333333333333334
1,11 16,2,0.23333333333333334
2,11 18,2,0.23333333333333334
3,11 31,2,0.23333333333333334
4,12 30,2,0.2
5,0 15,2,0.2
6,1 16,2,0.2
7,20 30,2,0.2
8,15 26,2,0.2
9,15 27,2,0.2
10,11 24,2,0.2
11,2 30,2,0.2
12,4 30,2,0.16666666666666666
13,17 30,2,0.16666666666666666
14,28 30,2,0.16666666666666666
15,0 26,2,0.16666666666666666
16,26 27,2,0.16666666666666666
17,0 26 27,3,0.16666666666666666
18,16 18,2,0.16666666666666666
19,16 31,2,0.16666666666666666
20,18 31,2,0.16666666666666666
21,11 16 31,3,0.16666666666666666
22,11 18 31,3,0.16666666666666666
23,17 20,2,0.16666666666666666
24,20 22,2,0.16666666666666666
25,22 30,2,0.16666666666666666
26,0 15 27,3,0.16666666666666666
27,16 24,2,0.16666666666666666
28,18 24,2,0.16666666666666666
29,4 20,2,0.16666666666666666
30,0 16,2,0.13333333333333333
31,19 20 30,3,0.06666666666666667
32,2 7 27,3,0.0
33,10 31,2,0.03333333333333333
34,2 16 25,3,0.03333333333333333
35,13 19,2,0.06666666666666667
36,8 15 26,3,0.03333333333333333
37,3 5 18 25,4,0.0
38,1 21 27,3,0.0
39,11 25,2,0.03333333333333333
