baseline,run_index,selected_hyperedges,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram
random,0,5,0.9736378205128204,0.8944444444444445,0.9736378205128204,"{0.0: 1.0, 0.1: 0.9874198717948718, 0.2: 0.9334935897435898}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.98125, 'noise=0.1;missing=0.2': 0.9935897435897435, 'noise=0.2;missing=0.0': 0.9208333333333333, 'noise=0.2;missing=0.2': 0.9461538461538462}",0.9035087719298246,0.03508771929824561,18,6,5,2.4,0.07142857142857142,2,0.375,0.296875,0.6822916666666666,3.4182958340544896,"{2: 3, 3: 2}"
random,1,19,0.963755341880342,0.8555555555555555,0.963755341880342,"{0.0: 1.0, 0.1: 0.9766826923076922, 0.2: 0.9145833333333332}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.967948717948718, 'noise=0.2;missing=0.0': 0.8958333333333334, 'noise=0.2;missing=0.2': 0.9333333333333332}",0.8947368421052632,0.07017543859649122,18,6,19,2.3157894736842106,0.2714285714285714,5,1.375,1.234375,0.42329545454545453,4.433990357756303,"{2: 14, 3: 4, 4: 1}"
random,2,25,0.962313034188034,0.8388888888888889,0.962313034188034,"{0.0: 1.0, 0.1: 0.9770032051282052, 0.2: 0.9099358974358973}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9770833333333333, 'noise=0.1;missing=0.2': 0.9769230769230769, 'noise=0.2;missing=0.0': 0.9083333333333333, 'noise=0.2;missing=0.2': 0.9115384615384615}",0.8508771929824561,0.07017543859649122,18,6,25,2.2,0.35714285714285715,4,1.71875,1.6396484375,0.41875,4.485283122340218,"{2: 20, 3: 5}"
random,3,23,0.9585737179487179,0.8333333333333334,0.9585737179487179,"{0.0: 1.0, 0.1: 0.9725160256410256, 0.2: 0.9032051282051282}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.99375, 'noise=0.1;missing=0.2': 0.9512820512820513, 'noise=0.2;missing=0.0': 0.9, 'noise=0.2;missing=0.2': 0.9064102564102563}",0.8421052631578947,0.07017543859649122,18,6,23,2.260869565217391,0.32857142857142857,5,1.625,2.171875,0.5036057692307693,4.2746903818446,"{2: 17, 3: 6}"
random,4,35,0.9453258547008546,0.7944444444444444,0.9453258547008546,"{0.0: 1.0, 0.1: 0.9620993589743588, 0.2: 0.8738782051282052}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.95625, 'noise=0.1;missing=0.2': 0.967948717948718, 'noise=0.2;missing=0.0': 0.8375, 'noise=0.2;missing=0.2': 0.9102564102564104}",0.8157894736842105,0.07017543859649122,18,6,35,2.3714285714285714,0.5,9,2.59375,4.2412109375,0.3881777108433735,4.578959160781079,"{2: 24, 3: 9, 4: 2}"
random,5,27,0.9655181623931623,0.8555555555555555,0.9655181623931623,"{0.0: 1.0, 0.1: 0.9798878205128204, 0.2: 0.9166666666666666}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9743589743589743, 'noise=0.2;missing=0.0': 0.9, 'noise=0.2;missing=0.2': 0.9333333333333335}",0.8596491228070176,0.06140350877192982,18,6,27,2.185185185185185,0.38571428571428573,9,1.84375,4.1943359375,0.5524364406779662,4.167382719259503,"{2: 22, 3: 5}"
random,6,22,0.9580128205128204,0.8388888888888889,0.9580128205128204,"{0.0: 1.0, 0.1: 0.9670673076923076, 0.2: 0.9069711538461538}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9487179487179487, 'noise=0.2;missing=0.0': 0.8729166666666667, 'noise=0.2;missing=0.2': 0.941025641025641}",0.8508771929824561,0.06140350877192982,18,6,22,2.227272727272727,0.3142857142857143,6,1.53125,1.8115234375,0.4585459183673469,4.354007037771996,"{2: 17, 3: 5}"
random,7,6,0.9704861111111112,0.8833333333333333,0.9704861111111112,"{0.0: 1.0, 0.1: 0.9874198717948718, 0.2: 0.9240384615384616}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.98125, 'noise=0.1;missing=0.2': 0.9935897435897435, 'noise=0.2;missing=0.0': 0.925, 'noise=0.2;missing=0.2': 0.9230769230769231}",0.8947368421052632,0.043859649122807015,18,6,6,2.3333333333333335,0.08571428571428572,3,0.4375,0.49609375,0.71875,3.3248629576173565,"{2: 4, 3: 2}"
random,8,35,0.9558226495726495,0.8388888888888889,0.9558226495726495,"{0.0: 1.0, 0.1: 0.9821314102564103, 0.2: 0.8853365384615385}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9770833333333333, 'noise=0.1;missing=0.2': 0.9871794871794871, 'noise=0.2;missing=0.0': 0.8770833333333333, 'noise=0.2;missing=0.2': 0.8935897435897435}",0.8421052631578947,0.05263157894736842,18,6,35,2.2857142857142856,0.5,7,2.5,3.25,0.39375,4.583783409004102,"{2: 26, 3: 8, 4: 1}"
random,9,26,0.9484241452991452,0.8,0.9484241452991452,"{0.0: 1.0, 0.1: 0.9682692307692307, 0.2: 0.877003205128205}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.975, 'noise=0.1;missing=0.2': 0.9615384615384616, 'noise=0.2;missing=0.0': 0.8604166666666667, 'noise=0.2;missing=0.2': 0.8935897435897435}",0.8245614035087719,0.07017543859649122,18,6,26,2.3076923076923075,0.37142857142857144,6,1.875,3.046875,0.5010416666666667,4.319250912838829,"{2: 18, 3: 8}"
random,10,12,0.9547008547008545,0.8277777777777777,0.9547008547008545,"{0.0: 1.0, 0.1: 0.9711538461538463, 0.2: 0.8929487179487179}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.958974358974359, 'noise=0.2;missing=0.0': 0.9, 'noise=0.2;missing=0.2': 0.8858974358974359}",0.8333333333333334,0.06140350877192982,18,6,12,2.3333333333333335,0.17142857142857143,4,0.875,1.046875,0.5870535714285714,3.9677201004744993,"{2: 9, 3: 2, 4: 1}"
random,11,27,0.947809829059829,0.8,0.947809829059829,"{0.0: 1.0, 0.1: 0.969551282051282, 0.2: 0.8738782051282051}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.975, 'noise=0.1;missing=0.2': 0.9641025641025641, 'noise=0.2;missing=0.0': 0.8541666666666666, 'noise=0.2;missing=0.2': 0.8935897435897435}",0.8070175438596491,0.06140350877192982,18,6,27,2.3333333333333335,0.38571428571428573,6,1.96875,2.6552734375,0.45982142857142855,4.419518566556779,"{2: 19, 3: 7, 4: 1}"
frequency,0,35,0.9514423076923075,0.8111111111111111,0.9514423076923075,"{0.0: 1.0, 0.1: 0.9673878205128205, 0.2: 0.8869391025641026}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9770833333333333, 'noise=0.1;missing=0.2': 0.9576923076923076, 'noise=0.2;missing=0.0': 0.8854166666666666, 'noise=0.2;missing=0.2': 0.8884615384615384}",0.8421052631578947,0.07017543859649122,18,6,35,2.1142857142857143,0.5,7,2.3125,5.77734375,0.5692567567567568,4.058795306465273,"{2: 31, 3: 4}"
pairwise,0,35,0.9563301282051282,0.8277777777777777,0.9563301282051282,"{0.0: 1.0, 0.1: 0.9705929487179487, 0.2: 0.8983974358974359}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9770833333333333, 'noise=0.1;missing=0.2': 0.964102564102564, 'noise=0.2;missing=0.0': 0.9083333333333333, 'noise=0.2;missing=0.2': 0.8884615384615384}",0.8508771929824561,0.06140350877192982,18,6,35,2.0,0.5,7,2.1875,4.08984375,0.5125,4.230570653793757,{2: 35}
