edge_id,symbols,size,joint_activation_frequency
0,0 27,2,0.23333333333333334
1,11 16,2,0.23333333333333334
2,11 18,2,0.23333333333333334
3,11 31,2,0.23333333333333334
4,12 30,2,0.2
5,0 15,2,0.2
6,1 16,2,0.2
7,20 30,2,0.2
8,15 26,2,0.2
9,15 27,2,0.2
10,11 24,2,0.2
11,2 30,2,0.2
12,4 30,2,0.16666666666666666
13,17 30,2,0.16666666666666666
14,28 30,2,0.16666666666666666
15,0 26,2,0.16666666666666666
16,26 27,2,0.16666666666666666
17,0 26 27,3,0.16666666666666666
18,16 18,2,0.16666666666666666
19,16 31,2,0.16666666666666666
20,18 31,2,0.16666666666666666
21,11 16 31,3,0.16666666666666666
22,11 18 31,3,0.16666666666666666
23,17 20,2,0.16666666666666666
24,20 22,2,0.16666666666666666
25,22 30,2,0.16666666666666666
26,0 15 27,3,0.16666666666666666
27,16 24,2,0.16666666666666666
28,18 24,2,0.16666666666666666
29,4 20,2,0.16666666666666666
30,5 15,2,0.16666666666666666
31,12 20,2,0.16666666666666666
32,0 5,2,0.16666666666666666
33,5 27,2,0.16666666666666666
34,4 12,2,0.13333333333333333
35,12 17,2,0.13333333333333333
36,12 25,2,0.13333333333333333
37,12 28,2,0.13333333333333333
38,21 25,2,0.13333333333333333
39,0 11,2,0.13333333333333333
40,0 13,2,0.13333333333333333
41,11 13,2,0.13333333333333333
42,11 21,2,0.13333333333333333
43,11 22,2,0.13333333333333333
44,13 27,2,0.13333333333333333
45,21 27,2,0.13333333333333333
46,0 16,2,0.13333333333333333
47,1 11,2,0.13333333333333333
48,15 16,2,0.13333333333333333
49,16 28,2,0.13333333333333333
50,1 11 16,3,0.13333333333333333
51,11 16 18,3,0.13333333333333333
52,20 23,2,0.0
53,2 22 25,3,0.0
54,22 24 29,3,0.0
55,3 14 26,3,0.0
56,25 28,2,0.06666666666666667
57,14 16 24,3,0.03333333333333333
58,17 28,2,0.06666666666666667
59,5 8 19 24,4,0.0
60,14 30,2,0.0
61,6 11 22 29,4,0.0
62,4 21 23,3,0.0
63,10 12 29,3,0.0
64,14 25,2,0.0
65,3 15 21,3,0.0
66,13 20 29,3,0.0
67,3 9 21,3,0.0
68,12 24 26,3,0.0
69,20 21,2,0.03333333333333333
