average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0.9602831196581195,0.85,0.9602831196581195,"{0.0: 1.0, 0.1: 0.9818108974358973, 0.2: 0.8990384615384616}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9782051282051282, 'noise=0.2;missing=0.0': 0.925, 'noise=0.2;missing=0.2': 0.873076923076923}",0.8245614035087719,0.06140350877192982,18,6,34,2.323529411764706,0.4857142857142857,8,2.46875,4.6240234375,0.47191455696202533,4.425051122545312,"{2: 25, 3: 7, 4: 2}",34,0.0,0.48014735190951374
0.9571047008547008,0.8333333333333334,0.9571047008547008,"{0.0: 1.0, 0.1: 0.9852564102564102, 0.2: 0.8860576923076923}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.9871794871794871, 'noise=0.2;missing=0.0': 0.8708333333333333, 'noise=0.2;missing=0.2': 0.9012820512820513}",0.8333333333333334,0.06140350877192982,18,6,35,2.2857142857142856,0.5,6,2.5,2.625,0.36640625,4.626641733102592,"{2: 26, 3: 8, 4: 1}",35,0.0,0.4931785714285714
0.9501335470085469,0.8111111111111111,0.9501335470085469,"{0.0: 1.0, 0.1: 0.9638621794871794, 0.2: 0.8865384615384614}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.96875, 'noise=0.1;missing=0.2': 0.958974358974359, 'noise=0.2;missing=0.0': 0.8666666666666667, 'noise=0.2;missing=0.2': 0.9064102564102564}",0.8245614035087719,0.07894736842105263,18,6,36,2.361111111111111,0.5142857142857142,9,2.65625,3.2255859375,0.35110294117647056,4.652646082814736,"{2: 25, 3: 9, 4: 2}",36,1.0,0.5074125788336167
0.960844017094017,0.85,0.960844017094017,"{0.0: 1.0, 0.1: 0.9728365384615384, 0.2: 0.9096955128205128}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9602564102564102, 'noise=0.2;missing=0.0': 0.9270833333333334, 'noise=0.2;missing=0.2': 0.8923076923076924}",0.8333333333333334,0.06140350877192982,18,6,40,2.25,0.5714285714285714,7,2.8125,3.46484375,0.37083333333333335,4.588804280805398,"{2: 30, 3: 10}",40,5.0,0.5608595344387755
0.9586004273504273,0.8388888888888889,0.9586004273504273,"{0.0: 1.0, 0.1: 0.9737179487179487, 0.2: 0.9020833333333333}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.964102564102564, 'noise=0.2;missing=0.0': 0.9041666666666667, 'noise=0.2;missing=0.2': 0.9000000000000001}",0.8771929824561403,0.06140350877192982,18,6,33,2.1515151515151514,0.4714285714285714,7,2.21875,3.2958984375,0.4555457746478873,4.422349895362511,"{2: 28, 3: 5}",33,0.0,0.46506943437886517
0.9609241452991452,0.85,0.9609241452991452,"{0.0: 1.0, 0.1: 0.9752403846153846, 0.2: 0.9075320512820512}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.98125, 'noise=0.1;missing=0.2': 0.9692307692307692, 'noise=0.2;missing=0.0': 0.9125, 'noise=0.2;missing=0.2': 0.9025641025641025}",0.8596491228070176,0.05263157894736842,18,6,33,2.242424242424242,0.4714285714285714,7,2.3125,3.02734375,0.40709459459459457,4.509054041856943,"{2: 25, 3: 8}",33,0.0,0.46574677740414344
0.9485576923076922,0.8055555555555556,0.9485576923076922,"{0.0: 1.0, 0.1: 0.9666666666666667, 0.2: 0.8790064102564102}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9666666666666667, 'noise=0.1;missing=0.2': 0.9666666666666667, 'noise=0.2;missing=0.0': 0.8708333333333333, 'noise=0.2;missing=0.2': 0.8871794871794872}",0.8157894736842105,0.06140350877192982,18,6,35,2.4,0.5,9,2.625,3.171875,0.3489583333333333,4.6907346488872275,"{2: 23, 3: 10, 4: 2}",35,0.0,0.49413839285714284
0.9639957264957265,0.8555555555555555,0.9639957264957265,"{0.0: 1.0, 0.1: 0.9711538461538463, 0.2: 0.9208333333333333}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.958974358974359, 'noise=0.2;missing=0.0': 0.925, 'noise=0.2;missing=0.2': 0.9166666666666666}",0.8421052631578947,0.05263157894736842,18,6,36,2.361111111111111,0.5142857142857142,6,2.65625,2.7255859375,0.3503676470588235,4.668058365921881,"{2: 25, 3: 9, 4: 2}",36,1.0,0.5073513543438207
0.9622061965811964,0.85,0.9622061965811964,"{0.0: 1.0, 0.1: 0.9733974358974358, 0.2: 0.9132211538461538}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9916666666666667, 'noise=0.1;missing=0.2': 0.9551282051282051, 'noise=0.2;missing=0.0': 0.9020833333333333, 'noise=0.2;missing=0.2': 0.9243589743589743}",0.8596491228070176,0.043859649122807015,18,6,29,2.3793103448275863,0.4142857142857143,6,2.15625,2.3818359375,0.3953804347826087,4.583040674659597,"{2: 20, 3: 7, 4: 2}",29,0.0,0.41245144402049616
0.9583066239316238,0.8444444444444444,0.9583066239316238,"{0.0: 1.0, 0.1: 0.9786057692307693, 0.2: 0.8963141025641026}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.96875, 'noise=0.1;missing=0.2': 0.9884615384615384, 'noise=0.2;missing=0.0': 0.8708333333333333, 'noise=0.2;missing=0.2': 0.9217948717948717}",0.8596491228070176,0.06140350877192982,18,6,34,2.176470588235294,0.4857142857142857,6,2.3125,2.71484375,0.3969594594594595,4.5619749467338835,"{2: 28, 3: 6}",34,0.0,0.47876467774609843
