solution_index,objective_recovery_error,objective_noise_error,objective_close_pattern_error,objective_complexity,genome,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0,0.03362713675213669,0.03362713675213669,0.1228070175438597,0.3569923469387755,0100000110101000000110110010101010110000100000010100000010100010111010,0.9663728632478633,0.8611111111111112,0.9663728632478633,"{0.0: 1.0, 0.1: 0.9747596153846153, 0.2: 0.9243589743589743}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9641025641025641, 'noise=0.2;missing=0.0': 0.9166666666666666, 'noise=0.2;missing=0.2': 0.932051282051282}",0.8771929824561403,0.05263157894736842,18,6,25,2.24,0.35714285714285715,4,1.75,1.6875,0.41517857142857145,4.458267868099842,"{2: 19, 3: 6}",25,0.0,0.3569923469387755
1,0.035630341880341976,0.035630341880341976,0.10526315789473684,0.41142264607890566,1000110100000010000001111111010010110010010011011110010010100010000010,0.964369658119658,0.8611111111111112,0.964369658119658,"{0.0: 1.0, 0.1: 0.9733974358974359, 0.2: 0.9197115384615384}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.975, 'noise=0.1;missing=0.2': 0.9717948717948718, 'noise=0.2;missing=0.0': 0.9125, 'noise=0.2;missing=0.2': 0.9269230769230768}",0.8947368421052632,0.043859649122807015,18,6,29,2.2413793103448274,0.4142857142857143,5,2.03125,2.7802734375,0.46298076923076925,4.364696952076849,"{2: 22, 3: 7}",29,0.0,0.41142264607890566
2,0.03573717948717958,0.03573717948717958,0.1578947368421053,0.3563860012755102,0000100011100100000000001100101011111010100000010110000010100010000111,0.9642628205128204,0.8611111111111112,0.9642628205128204,"{0.0: 1.0, 0.1: 0.9714743589743589, 0.2: 0.9213141025641025}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.975, 'noise=0.1;missing=0.2': 0.967948717948718, 'noise=0.2;missing=0.0': 0.9208333333333333, 'noise=0.2;missing=0.2': 0.9217948717948717}",0.8421052631578947,0.05263157894736842,18,6,25,2.16,0.35714285714285715,5,1.6875,1.83984375,0.44560185185185186,4.391021937501533,"{2: 21, 3: 4}",25,0.0,0.3563860012755102
3,0.04244123931623944,0.04244123931623944,0.14912280701754388,0.30268397906037414,0000100100100100000000110010101010110000100000010100000010100010000111,0.9575587606837606,0.8388888888888889,0.9575587606837606,"{0.0: 1.0, 0.1: 0.969551282051282, 0.2: 0.903125}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.975, 'noise=0.1;missing=0.2': 0.964102564102564, 'noise=0.2;missing=0.0': 0.90625, 'noise=0.2;missing=0.2': 0.9}",0.8508771929824561,0.043859649122807015,18,6,21,2.238095238095238,0.3,4,1.46875,1.6240234375,0.47938829787234044,4.335775819440525,"{2: 16, 3: 5}",21,0.0,0.30268397906037414
4,0.032959401709401814,0.032959401709401814,0.11403508771929827,0.38375371876181025,1000100110101000000010001100101011011110100110011100000001010010000010,0.9670405982905982,0.8611111111111112,0.9670405982905982,"{0.0: 1.0, 0.1: 0.9786057692307693, 0.2: 0.9225160256410255}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9717948717948718, 'noise=0.2;missing=0.0': 0.9104166666666667, 'noise=0.2;missing=0.2': 0.9346153846153846}",0.8859649122807017,0.06140350877192982,18,6,27,2.185185185185185,0.38571428571428573,5,1.84375,2.0693359375,0.4337923728813559,4.463175151703292,"{2: 23, 3: 3, 4: 1}",27,0.0,0.38375371876181025
5,0.041079059829059905,0.041079059829059905,0.14912280701754388,0.3428920068027211,1000110000001001111010001100101010110000100000010100000010100010000110,0.9589209401709401,0.8444444444444444,0.9589209401709401,"{0.0: 1.0, 0.1: 0.9807692307692306, 0.2: 0.8959935897435897}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.9782051282051282, 'noise=0.2;missing=0.0': 0.8791666666666667, 'noise=0.2;missing=0.2': 0.9128205128205129}",0.8508771929824561,0.05263157894736842,18,6,24,2.1666666666666665,0.34285714285714286,6,1.625,2.046875,0.4735576923076923,4.368051015926779,"{2: 20, 3: 4}",24,0.0,0.3428920068027211
6,0.039583333333333304,0.039583333333333304,0.14912280701754388,0.35673521205357145,0100100011111100000000110010101100110000100000010100000010100010000111,0.9604166666666667,0.8444444444444444,0.9604166666666667,"{0.0: 1.0, 0.1: 0.9750801282051282, 0.2: 0.9061698717948717}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9770833333333333, 'noise=0.1;missing=0.2': 0.973076923076923, 'noise=0.2;missing=0.0': 0.9020833333333333, 'noise=0.2;missing=0.2': 0.9102564102564102}",0.8508771929824561,0.06140350877192982,18,6,25,2.2,0.35714285714285715,5,1.71875,2.1396484375,0.4732954545454545,4.374376477429129,"{2: 20, 3: 5}",25,0.0,0.35673521205357145
7,0.04540598290598297,0.04540598290598297,0.17543859649122806,0.30193132174744897,0000100100100100000000001100101011110000100000010100000010100010000111,0.954594017094017,0.8333333333333334,0.954594017094017,"{0.0: 1.0, 0.1: 0.9721153846153847, 0.2: 0.8916666666666667}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.975, 'noise=0.1;missing=0.2': 0.9692307692307692, 'noise=0.2;missing=0.0': 0.9, 'noise=0.2;missing=0.2': 0.8833333333333333}",0.8245614035087719,0.05263157894736842,18,6,21,2.142857142857143,0.3,4,1.40625,1.5537109375,0.48541666666666666,4.32453476270788,"{2: 18, 3: 3}",21,0.0,0.30193132174744897
8,0.03987713675213689,0.03987713675213689,0.16666666666666663,0.3293403601929902,1000110000000010111010001100101010110000100000010100000010100010000110,0.9601228632478631,0.8444444444444444,0.9601228632478631,"{0.0: 1.0, 0.1: 0.9762820512820513, 0.2: 0.9040865384615384}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.9692307692307692, 'noise=0.2;missing=0.0': 0.8979166666666667, 'noise=0.2;missing=0.2': 0.9102564102564104}",0.8333333333333334,0.05263157894736842,18,6,23,2.1739130434782608,0.32857142857142857,5,1.5625,1.74609375,0.4625,4.391272380112911,"{2: 19, 3: 4}",23,0.0,0.3293403601929902
9,0.031356837606837606,0.031356837606837606,0.0964912280701754,0.42547979113520407,0101100100001001000001111111010010110010010011011110100101010000000100,0.9686431623931624,0.8722222222222222,0.9686431623931624,"{0.0: 1.0, 0.1: 0.9734775641025641, 0.2: 0.9324519230769232}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9615384615384616, 'noise=0.2;missing=0.0': 0.91875, 'noise=0.2;missing=0.2': 0.9461538461538461}",0.9035087719298246,0.05263157894736842,18,6,30,2.3,0.42857142857142855,7,2.15625,3.0068359375,0.41893115942028986,4.511469066946465,"{2: 22, 3: 7, 4: 1}",30,0.0,0.42547979113520407
