baseline,run_index,selected_hyperedges,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram
random,0,16,0.9390964240102171,0.8154761904761905,0.9390964240102171,"{0.0: 1.0, 0.1: 0.9382525998905308, 0.2: 0.8790366721401204}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9503968253968254, 'noise=0.1;missing=0.2': 0.9261083743842364, 'noise=0.2;missing=0.0': 0.8492063492063491, 'noise=0.2;missing=0.2': 0.9088669950738916}",0.803030303030303,0.045454545454545456,6,7,16,2.0,0.26666666666666666,6,0.8888888888888888,1.8765432098765433,0.6944444444444444,3.7417292966721747,{2: 16}
random,1,23,0.944740923189199,0.8154761904761905,0.944740923189199,"{0.0: 1.0, 0.1: 0.9404761904761905, 0.2: 0.8937465790914068}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9166666666666666, 'noise=0.1;missing=0.2': 0.9642857142857143, 'noise=0.2;missing=0.0': 0.8650793650793649, 'noise=0.2;missing=0.2': 0.9224137931034483}",0.8333333333333334,0.06060606060606061,6,7,23,2.0869565217391304,0.38333333333333336,7,1.3333333333333333,2.666666666666667,0.6041666666666666,4.144641085934339,"{2: 21, 3: 2}"
random,2,25,0.9486065498996533,0.8214285714285714,0.9486065498996533,"{0.0: 1.0, 0.1: 0.9577175697865352, 0.2: 0.8881020799124247}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9523809523809524, 'noise=0.1;missing=0.2': 0.9630541871921182, 'noise=0.2;missing=0.0': 0.9067460317460317, 'noise=0.2;missing=0.2': 0.8694581280788177}",0.8636363636363636,0.045454545454545456,6,7,25,2.4,0.4166666666666667,7,1.6666666666666667,3.666666666666666,0.6018518518518519,4.164468304875446,"{2: 17, 3: 6, 4: 2}"
random,3,29,0.9553229337712097,0.8452380952380952,0.9553229337712097,"{0.0: 1.0, 0.1: 0.9505336617405583, 0.2: 0.9154351395730705}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9404761904761905, 'noise=0.1;missing=0.2': 0.960591133004926, 'noise=0.2;missing=0.0': 0.9047619047619049, 'noise=0.2;missing=0.2': 0.9261083743842365}",0.8939393939393939,0.030303030303030304,6,7,29,2.1724137931034484,0.48333333333333334,12,1.75,4.520833333333333,0.5251322751322751,4.369594010561118,"{2: 25, 3: 3, 4: 1}"
random,4,24,0.9560527276044517,0.8392857142857143,0.9560527276044517,"{0.0: 1.0, 0.1: 0.9548782156540777, 0.2: 0.9132799671592774}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9503968253968254, 'noise=0.1;missing=0.2': 0.95935960591133, 'noise=0.2;missing=0.0': 0.8869047619047619, 'noise=0.2;missing=0.2': 0.939655172413793}",0.8939393939393939,0.06060606060606061,6,7,24,2.25,0.4,7,1.5,2.9166666666666665,0.581275720164609,4.200160706270851,"{2: 18, 3: 6}"
random,5,28,0.9493021346469622,0.8214285714285714,0.9493021346469622,"{0.0: 1.0, 0.1: 0.9455733442802409, 0.2: 0.9023330596606459}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9305555555555555, 'noise=0.1;missing=0.2': 0.960591133004926, 'noise=0.2;missing=0.0': 0.8908730158730158, 'noise=0.2;missing=0.2': 0.9137931034482758}",0.8484848484848485,0.06060606060606061,6,7,28,2.25,0.4666666666666667,11,1.75,4.854166666666667,0.5983245149911817,4.181290530883867,"{2: 23, 3: 3, 4: 2}"
random,6,10,0.9503968253968254,0.8154761904761905,0.9503968253968254,"{0.0: 1.0, 0.1: 0.9541256157635468, 0.2: 0.8970648604269293}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9464285714285714, 'noise=0.1;missing=0.2': 0.9618226600985221, 'noise=0.2;missing=0.0': 0.8988095238095237, 'noise=0.2;missing=0.2': 0.8953201970443349}",0.8333333333333334,0.06060606060606061,6,7,10,2.2,0.16666666666666666,4,0.6111111111111112,0.7376543209876544,0.6540404040404041,3.823067982273661,"{2: 8, 3: 2}"
random,7,19,0.9556878306878306,0.8452380952380952,0.9556878306878306,"{0.0: 1.0, 0.1: 0.9522783251231528, 0.2: 0.9147851669403393}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9464285714285714, 'noise=0.1;missing=0.2': 0.958128078817734, 'noise=0.2;missing=0.0': 0.8948412698412698, 'noise=0.2;missing=0.2': 0.9347290640394089}",0.8787878787878788,0.045454545454545456,6,7,19,2.473684210526316,0.31666666666666665,6,1.3055555555555556,1.9344135802469136,0.5549645390070922,4.293222627951164,"{2: 12, 3: 5, 4: 2}"
random,8,17,0.9586184090494434,0.8452380952380952,0.9586184090494434,"{0.0: 1.0, 0.1: 0.9607279693486591, 0.2: 0.9151272577996716}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9682539682539683, 'noise=0.1;missing=0.2': 0.9532019704433498, 'noise=0.2;missing=0.0': 0.8869047619047619, 'noise=0.2;missing=0.2': 0.9433497536945813}",0.8636363636363636,0.06060606060606061,6,7,17,2.176470588235294,0.2833333333333333,7,1.0277777777777777,1.9158950617283947,0.6163663663663663,4.0296835155099435,"{2: 14, 3: 3}"
random,9,14,0.9544220945083014,0.8333333333333334,0.9544220945083014,"{0.0: 1.0, 0.1: 0.9462233169129721, 0.2: 0.9170429666119322}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9404761904761906, 'noise=0.1;missing=0.2': 0.9519704433497537, 'noise=0.2;missing=0.0': 0.9067460317460317, 'noise=0.2;missing=0.2': 0.9273399014778325}",0.8787878787878788,0.030303030303030304,6,7,14,2.142857142857143,0.23333333333333334,5,0.8333333333333334,1.1944444444444444,0.6351851851851852,3.9614063297218425,"{2: 12, 3: 2}"
