edge_id,symbols,size,joint_activation_frequency
0,6 7,2,0.39285714285714285
1,15 21,2,0.2857142857142857
2,6 18,2,0.2857142857142857
3,13 22,2,0.2857142857142857
4,6 11,2,0.2857142857142857
5,21 32,2,0.25
6,6 20,2,0.25
7,7 18,2,0.25
8,6 7 18,3,0.25
9,4 6,2,0.25
10,6 13,2,0.25
11,13 25,2,0.25
12,21 24,2,0.25
13,6 34,2,0.25
14,15 32,2,0.21428571428571427
15,6 10,2,0.21428571428571427
16,6 19,2,0.21428571428571427
17,6 32,2,0.21428571428571427
18,18 32,2,0.21428571428571427
19,6 22,2,0.21428571428571427
20,6 26,2,0.21428571428571427
21,6 30,2,0.21428571428571427
22,10 13,2,0.21428571428571427
23,22 30,2,0.21428571428571427
24,5 13,2,0.21428571428571427
25,5 25,2,0.21428571428571427
26,5 31,2,0.21428571428571427
27,13 31,2,0.21428571428571427
28,5 13 25,3,0.21428571428571427
29,15 24,2,0.21428571428571427
30,17 24,2,0.21428571428571427
31,11 18,2,0.21428571428571427
32,6 11 18,3,0.21428571428571427
33,5 22,2,0.21428571428571427
34,22 25,2,0.21428571428571427
35,13 22 25,3,0.21428571428571427
36,8 21,2,0.17857142857142858
37,10 15,2,0.17857142857142858
38,10 21,2,0.17857142857142858
39,15 17,2,0.17857142857142858
40,17 21,2,0.17857142857142858
41,7 19,2,0.17857142857142858
42,14 22 33,3,0.0
43,4 28,2,0.03571428571428571
44,8 10 19 29,4,0.0
45,5 20 23 32,4,0.0
46,4 5,2,0.07142857142857142
47,1 4 12 18,4,0.0
48,24 35,2,0.10714285714285714
49,13 26 30,3,0.07142857142857142
50,9 10,2,0.07142857142857142
51,22 27,2,0.07142857142857142
52,1 15 28 33,4,0.0
53,8 23 26,3,0.0
54,3 21,2,0.07142857142857142
55,10 17 30,3,0.07142857142857142
56,2 29,2,0.0
57,9 14 27 34,4,0.0
58,4 33,2,0.0
59,30 34,2,0.07142857142857142
