solution_index,objective_recovery_error,objective_noise_error,objective_close_pattern_error,objective_complexity,genome,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0,0.04052636380222607,0.04052636380222607,0.11904761904761907,0.39572903806584364,000111000000110000101000101101111110110100010000001000100110,0.9594736361977739,0.8452380952380952,0.9594736361977739,"{0.0: 1.0, 0.1: 0.9742063492063492, 0.2: 0.9042145593869731}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9484126984126984, 'noise=0.1;missing=0.2': 1.0, 'noise=0.2;missing=0.0': 0.9007936507936508, 'noise=0.2;missing=0.2': 0.9076354679802955}",0.8809523809523809,0.05952380952380952,8,7,24,2.2083333333333335,0.4,6,1.4722222222222223,2.36033950617284,0.5550314465408805,4.300585728303868,"{2: 20, 3: 3, 4: 1}",24,0.0,0.39572903806584364
1,0.03960271848202879,0.03960271848202879,0.1428571428571429,0.38045136093218823,000111000000110000000011100011001100100101011110001000100110,0.9603972815179712,0.8333333333333334,0.9603972815179712,"{0.0: 1.0, 0.1: 0.9727011494252873, 0.2: 0.9084906951286261}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9761904761904763, 'noise=0.1;missing=0.2': 0.9692118226600985, 'noise=0.2;missing=0.0': 0.8908730158730158, 'noise=0.2;missing=0.2': 0.9261083743842364}",0.8571428571428571,0.08333333333333333,8,7,23,2.3043478260869565,0.38333333333333336,4,1.4722222222222223,1.6936728395061729,0.4910901467505241,4.47265017129941,"{2: 18, 3: 3, 4: 2}",23,0.0,0.38045136093218823
2,0.04209998175515428,0.04209998175515428,0.13095238095238093,0.3640889566965956,000111000000000000101000101101111110110100010000001000100110,0.9579000182448457,0.8452380952380952,0.9579000182448457,"{0.0: 1.0, 0.1: 0.9801587301587301, 0.2: 0.8935413245758073}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9603174603174602, 'noise=0.1;missing=0.2': 1.0, 'noise=0.2;missing=0.0': 0.8769841269841271, 'noise=0.2;missing=0.2': 0.9100985221674875}",0.8690476190476191,0.047619047619047616,8,7,22,2.227272727272727,0.36666666666666664,4,1.3611111111111112,1.7307098765432096,0.5311791383219955,4.354007037771996,"{2: 18, 3: 3, 4: 1}",22,0.0,0.3640889566965956
3,0.039431673052362726,0.039431673052362726,0.1428571428571429,0.39590740740740743,000111000000110000000011100010111100001101011110001000100110,0.9605683269476373,0.8333333333333334,0.9605683269476373,"{0.0: 1.0, 0.1: 0.9717090859332238, 0.2: 0.909995894909688}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9742063492063492, 'noise=0.1;missing=0.2': 0.9692118226600985, 'noise=0.2;missing=0.0': 0.8988095238095238, 'noise=0.2;missing=0.2': 0.9211822660098522}",0.8571428571428571,0.07142857142857142,8,7,24,2.25,0.4,4,1.5,1.6944444444444444,0.4835390946502058,4.457867131472584,"{2: 20, 3: 2, 4: 2}",24,0.0,0.39590740740740743
4,0.04905582922824303,0.04905582922824303,0.1428571428571429,0.22097681228236785,000100000000001010000011100011000000001110000000000000010010,0.950944170771757,0.8214285714285714,0.950944170771757,"{0.0: 1.0, 0.1: 0.9568965517241379, 0.2: 0.8959359605911329}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9642857142857143, 'noise=0.1;missing=0.2': 0.9495073891625615, 'noise=0.2;missing=0.0': 0.8928571428571429, 'noise=0.2;missing=0.2': 0.8990147783251231}",0.8571428571428571,0.03571428571428571,8,7,13,2.1538461538461537,0.21666666666666667,4,0.7777777777777778,1.117283950617284,0.6607142857142857,3.869331261111519,"{2: 11, 3: 2}",13,0.0,0.22097681228236785
5,0.04122194854953487,0.04122194854953487,0.1428571428571429,0.2687139917695473,010100000000001010001100100010110001100010000000010000010010,0.9587780514504651,0.8452380952380952,0.9587780514504651,"{0.0: 1.0, 0.1: 0.9712301587301587, 0.2: 0.9051039956212369}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9781746031746031, 'noise=0.1;missing=0.2': 0.9642857142857143, 'noise=0.2;missing=0.0': 0.9087301587301588, 'noise=0.2;missing=0.2': 0.9014778325123152}",0.8571428571428571,0.011904761904761904,8,7,16,2.1875,0.26666666666666666,4,0.9722222222222222,1.1381172839506173,0.5722222222222222,4.207435516759525,"{2: 13, 3: 3}",16,0.0,0.2687139917695473
6,0.04615945995256343,0.04615945995256343,0.11904761904761907,0.25250720164609053,010100000000001010001100100010110000001110000000000000010010,0.9538405400474366,0.8333333333333334,0.9538405400474366,"{0.0: 1.0, 0.1: 0.9662356321839081, 0.2: 0.8952859879584018}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9583333333333333, 'noise=0.1;missing=0.2': 0.9741379310344828, 'noise=0.2;missing=0.0': 0.8829365079365079, 'noise=0.2;missing=0.2': 0.9076354679802955}",0.8809523809523809,0.023809523809523808,8,7,15,2.1333333333333333,0.25,3,0.8888888888888888,1.1543209876543215,0.6267361111111112,4.007048827786958,"{2: 13, 3: 2}",15,0.0,0.25250720164609053
7,0.048827768655354986,0.048827768655354986,0.1785714285714286,0.20518158436213993,000001100000000000000011100011000000001110000000000000010010,0.951172231344645,0.8214285714285714,0.951172231344645,"{0.0: 1.0, 0.1: 0.9837164750957854, 0.2: 0.86980021893815}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9920634920634921, 'noise=0.1;missing=0.2': 0.9753694581280788, 'noise=0.2;missing=0.0': 0.8492063492063492, 'noise=0.2;missing=0.2': 0.8903940886699507}",0.8214285714285714,0.047619047619047616,8,7,12,2.1666666666666665,0.2,3,0.7222222222222222,0.8117283950617283,0.6346153846153846,3.95006375643621,"{2: 10, 3: 2}",12,0.0,0.20518158436213993
8,0.04110791826309068,0.04110791826309068,0.16666666666666663,0.30100450102880655,000111000000001000000011100011001100100100010000001000100110,0.9588920817369093,0.8333333333333334,0.9588920817369093,"{0.0: 1.0, 0.1: 0.9750615763546797, 0.2: 0.9016146688560482}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9821428571428571, 'noise=0.1;missing=0.2': 0.9679802955665024, 'noise=0.2;missing=0.0': 0.8968253968253966, 'noise=0.2;missing=0.2': 0.9064039408866995}",0.8333333333333334,0.05952380952380952,8,7,18,2.2777777777777777,0.3,3,1.1388888888888888,1.119598765432099,0.5101626016260162,4.387443772646929,"{2: 14, 3: 3, 4: 1}",18,0.0,0.30100450102880655
9,0.04224822112753146,0.04224822112753146,0.13095238095238093,0.3483276932686654,000111000000110000101000101101101100100100010000001000100110,0.9577517788724685,0.8392857142857143,0.9577517788724685,"{0.0: 1.0, 0.1: 0.9742063492063492, 0.2: 0.8990489874110564}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9484126984126984, 'noise=0.1;missing=0.2': 1.0, 'noise=0.2;missing=0.0': 0.9027777777777777, 'noise=0.2;missing=0.2': 0.8953201970443351}",0.8690476190476191,0.05952380952380952,8,7,21,2.238095238095238,0.35,5,1.3055555555555556,1.7121913580246912,0.539598108747045,4.333651022204145,"{2: 17, 3: 3, 4: 1}",21,0.0,0.3483276932686654
