edge_id,symbols,size,joint_activation_frequency
0,2 19,2,0.23333333333333334
1,21 28,2,0.23333333333333334
2,13 18,2,0.2
3,5 19,2,0.2
4,6 19,2,0.2
5,8 21,2,0.2
6,9 13,2,0.2
7,9 21,2,0.2
8,2 27,2,0.2
9,5 11,2,0.2
10,7 10,2,0.16666666666666666
11,7 24,2,0.16666666666666666
12,7 31,2,0.16666666666666666
13,10 24,2,0.16666666666666666
14,10 31,2,0.16666666666666666
15,13 31,2,0.16666666666666666
16,17 31,2,0.16666666666666666
17,18 24,2,0.16666666666666666
18,18 31,2,0.16666666666666666
19,24 31,2,0.16666666666666666
20,2 5,2,0.16666666666666666
21,2 6,2,0.16666666666666666
22,8 28,2,0.16666666666666666
23,9 28,2,0.16666666666666666
24,13 21,2,0.16666666666666666
25,8 21 28,3,0.16666666666666666
26,9 21 28,3,0.16666666666666666
27,0 21,2,0.16666666666666666
28,20 21,2,0.16666666666666666
29,2 11,2,0.16666666666666666
30,11 19,2,0.16666666666666666
31,0 18,2,0.16666666666666666
32,9 18,2,0.16666666666666666
33,3 7,2,0.16666666666666666
34,3 23,2,0.16666666666666666
35,10 11,2,0.16666666666666666
36,5 10,2,0.16666666666666666
37,7 17,2,0.13333333333333333
38,22 29,2,0.0
39,12 24,2,0.1
40,8 11 29,3,0.0
41,6 25 31,3,0.0
42,14 17,2,0.03333333333333333
43,17 21 25 31,4,0.0
44,11 15 19,3,0.0
45,11 31,2,0.1
46,14 20 21 23,4,0.0
47,7 12 25,3,0.0
48,2 25 28,3,0.0
49,5 13 16 24,4,0.0
