baseline,run_index,selected_hyperedges,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram
random,0,6,0.9685096153846154,0.8833333333333333,0.9685096153846154,"{0.0: 1.0, 0.1: 0.9846955128205129, 0.2: 0.9208333333333332}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.99375, 'noise=0.1;missing=0.2': 0.9756410256410256, 'noise=0.2;missing=0.0': 0.925, 'noise=0.2;missing=0.2': 0.9166666666666667}",0.8833333333333333,0.05,15,6,6,2.0,0.12,3,0.375,0.546875,0.8072916666666666,2.8553885422075336,{2: 6}
random,1,9,0.9665064102564103,0.8777777777777778,0.9665064102564103,"{0.0: 1.0, 0.1: 0.989823717948718, 0.2: 0.9096955128205129}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.99375, 'noise=0.1;missing=0.2': 0.9858974358974358, 'noise=0.2;missing=0.0': 0.9104166666666667, 'noise=0.2;missing=0.2': 0.9089743589743591}",0.8666666666666667,0.05,15,6,9,2.5555555555555554,0.18,3,0.71875,0.7021484375,0.6019021739130435,3.882045108136862,"{2: 6, 3: 1, 4: 2}"
random,2,12,0.961030982905983,0.8444444444444444,0.961030982905983,"{0.0: 1.0, 0.1: 0.9793269230769232, 0.2: 0.9037660256410257}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9791666666666666, 'noise=0.1;missing=0.2': 0.9794871794871794, 'noise=0.2;missing=0.0': 0.90625, 'noise=0.2;missing=0.2': 0.9012820512820513}",0.825,0.06666666666666667,15,6,12,2.25,0.24,3,0.84375,0.6943359375,0.5034722222222222,4.180451390892101,"{2: 10, 3: 1, 4: 1}"
random,3,6,0.9599626068376068,0.8444444444444444,0.9599626068376068,"{0.0: 1.0, 0.1: 0.9798878205128204, 0.2: 0.9}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9743589743589745, 'noise=0.2;missing=0.0': 0.9, 'noise=0.2;missing=0.2': 0.9000000000000001}",0.825,0.075,15,6,6,2.1666666666666665,0.12,3,0.40625,0.6162109375,0.8052884615384616,2.873140679513133,"{2: 5, 3: 1}"
random,4,13,0.9638087606837605,0.8388888888888889,0.9638087606837605,"{0.0: 1.0, 0.1: 0.9742788461538462, 0.2: 0.9171474358974359}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9729166666666667, 'noise=0.1;missing=0.2': 0.9756410256410255, 'noise=0.2;missing=0.0': 0.9291666666666667, 'noise=0.2;missing=0.2': 0.9051282051282052}",0.825,0.10833333333333334,15,6,13,2.0,0.26,4,0.8125,1.27734375,0.6850961538461539,3.6133373140453076,{2: 13}
random,5,25,0.9518162393162393,0.8166666666666667,0.9518162393162393,"{0.0: 1.0, 0.1: 0.9665865384615384, 0.2: 0.8888621794871796}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9729166666666667, 'noise=0.1;missing=0.2': 0.9602564102564102, 'noise=0.2;missing=0.0': 0.9020833333333333, 'noise=0.2;missing=0.2': 0.8756410256410256}",0.8083333333333333,0.09166666666666666,15,6,25,2.2,0.5,4,1.71875,2.7021484375,0.5244318181818182,4.167634486212596,"{2: 21, 3: 3, 4: 1}"
random,6,5,0.9630341880341882,0.8555555555555555,0.9630341880341882,"{0.0: 1.0, 0.1: 0.984775641025641, 0.2: 0.9043269230769231}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9875, 'noise=0.1;missing=0.2': 0.982051282051282, 'noise=0.2;missing=0.0': 0.9291666666666667, 'noise=0.2;missing=0.2': 0.8794871794871797}",0.825,0.075,15,6,5,2.0,0.1,2,0.3125,0.33984375,0.7875,2.9219280948873623,{2: 5}
random,7,10,0.9631143162393163,0.85,0.9631143162393163,"{0.0: 1.0, 0.1: 0.9752403846153846, 0.2: 0.9141025641025641}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.98125, 'noise=0.1;missing=0.2': 0.9692307692307692, 'noise=0.2;missing=0.0': 0.9166666666666666, 'noise=0.2;missing=0.2': 0.9115384615384616}",0.8416666666666667,0.075,15,6,10,2.1,0.2,2,0.65625,0.6005859375,0.6116071428571429,3.8208888513501886,"{2: 9, 3: 1}"
frequency,0,25,0.9666132478632479,0.8722222222222222,0.9666132478632479,"{0.0: 1.0, 0.1: 0.9766826923076922, 0.2: 0.9231570512820512}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9679487179487178, 'noise=0.2;missing=0.0': 0.9270833333333334, 'noise=0.2;missing=0.2': 0.9192307692307693}",0.8666666666666667,0.05,15,6,25,2.0,0.5,7,1.5625,3.18359375,0.595,4.00604988153611,{2: 25}
pairwise,0,25,0.9666132478632479,0.8722222222222222,0.9666132478632479,"{0.0: 1.0, 0.1: 0.9766826923076922, 0.2: 0.9231570512820512}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9679487179487178, 'noise=0.2;missing=0.0': 0.9270833333333334, 'noise=0.2;missing=0.2': 0.9192307692307693}",0.8666666666666667,0.05,15,6,25,2.0,0.5,7,1.5625,3.18359375,0.595,4.00604988153611,{2: 25}
dense,0,25,0.9666132478632479,0.8722222222222222,0.9666132478632479,"{0.0: 1.0, 0.1: 0.9766826923076922, 0.2: 0.9231570512820512}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9679487179487178, 'noise=0.2;missing=0.0': 0.9270833333333334, 'noise=0.2;missing=0.2': 0.9192307692307693}",0.8666666666666667,0.05,15,6,25,2.0,0.5,7,1.5625,3.18359375,0.595,4.00604988153611,{2: 25}
