solution_index,objective_recovery_error,objective_noise_error,objective_close_pattern_error,objective_complexity,genome,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0,0.038461538461538325,0.038461538461538325,0.10256410256410253,0.325283212515024,0110000001010010101010000001010100100010,0.9615384615384617,0.8680555555555556,0.9615384615384617,"{0.0: 1.0, 0.1: 0.9739583333333334, 0.2: 0.9106570512820512}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9895833333333334, 'noise=0.1;missing=0.2': 0.9583333333333334, 'noise=0.2;missing=0.0': 0.90625, 'noise=0.2;missing=0.2': 0.9150641025641025}",0.8974358974358975,0.05128205128205128,11,6,13,2.076923076923077,0.325,3,0.84375,0.8193359375,0.5636574074074074,4.032303242743953,"{2: 12, 3: 1}",13,0.0,0.325283212515024
1,0.031183226495726246,0.031183226495726246,0.1282051282051282,0.492744140625,0001111010001001110111001010011100001011,0.9688167735042738,0.8819444444444444,0.9688167735042738,"{0.0: 1.0, 0.1: 0.9815705128205128, 0.2: 0.9248798076923078}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 1.0, 'noise=0.1;missing=0.2': 0.9631410256410257, 'noise=0.2;missing=0.0': 0.9010416666666666, 'noise=0.2;missing=0.2': 0.9487179487179488}",0.8717948717948718,0.05128205128205128,11,6,20,2.2,0.5,5,1.375,1.484375,0.4772727272727273,4.337066209881521,"{2: 17, 3: 2, 4: 1}",20,0.0,0.492744140625
2,0.03689236111111116,0.03689236111111116,0.07692307692307687,0.39929150390625,0101100010100111010001010001010100100001,0.9631076388888888,0.8680555555555556,0.9631076388888888,"{0.0: 1.0, 0.1: 0.9623397435897436, 0.2: 0.926983173076923}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9791666666666666, 'noise=0.1;missing=0.2': 0.9455128205128206, 'noise=0.2;missing=0.0': 0.9036458333333334, 'noise=0.2;missing=0.2': 0.9503205128205129}",0.9230769230769231,0.02564102564102564,11,6,16,2.375,0.4,4,1.1875,1.96484375,0.6134868421052632,3.925173236956996,"{2: 11, 3: 4, 4: 1}",16,0.0,0.39929150390625
3,0.03335336538461542,0.03335336538461542,0.15384615384615385,0.42117811494715074,0001001010010000110111001010011100001011,0.9666466346153846,0.875,0.9666466346153846,"{0.0: 1.0, 0.1: 0.982471955128205, 0.2: 0.9174679487179488}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9921875, 'noise=0.1;missing=0.2': 0.9727564102564102, 'noise=0.2;missing=0.0': 0.8958333333333334, 'noise=0.2;missing=0.2': 0.9391025641025642}",0.8461538461538461,0.0641025641025641,11,6,17,2.176470588235294,0.425,4,1.15625,1.1318359375,0.49239864864864863,4.283381405994075,"{2: 15, 3: 1, 4: 1}",17,0.0,0.42117811494715074
4,0.03525641025641013,0.03525641025641013,0.10256410256410253,0.34904302106584817,0110001010010010101010000001011100000010,0.9647435897435899,0.8680555555555556,0.9647435897435899,"{0.0: 1.0, 0.1: 0.9763621794871794, 0.2: 0.9178685897435898}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9895833333333334, 'noise=0.1;missing=0.2': 0.9631410256410255, 'noise=0.2;missing=0.0': 0.90625, 'noise=0.2;missing=0.2': 0.9294871794871794}",0.8974358974358975,0.05128205128205128,11,6,14,2.0714285714285716,0.35,3,0.90625,0.9599609375,0.572198275862069,4.021268494903765,"{2: 13, 3: 1}",14,0.0,0.34904302106584817
5,0.03689236111111116,0.03689236111111116,0.0641025641025641,0.42292922794117643,0101100001110111010001010001010100100001,0.9631076388888888,0.8680555555555556,0.9631076388888888,"{0.0: 1.0, 0.1: 0.9695512820512819, 0.2: 0.9197716346153847}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9791666666666666, 'noise=0.1;missing=0.2': 0.9599358974358975, 'noise=0.2;missing=0.0': 0.9036458333333334, 'noise=0.2;missing=0.2': 0.935897435897436}",0.9358974358974359,0.02564102564102564,11,6,17,2.3529411764705883,0.425,5,1.25,2.125,0.6109375,3.937326145256008,"{2: 12, 3: 4, 4: 1}",17,0.0,0.42292922794117643
6,0.03218482905982889,0.03218482905982889,0.1282051282051282,0.46862967079564133,0001111010010000110111001010011100001011,0.9678151709401711,0.8819444444444444,0.9678151709401711,"{0.0: 1.0, 0.1: 0.986378205128205, 0.2: 0.9170673076923078}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 1.0, 'noise=0.1;missing=0.2': 0.9727564102564102, 'noise=0.2;missing=0.0': 0.8854166666666666, 'noise=0.2;missing=0.2': 0.9487179487179488}",0.8717948717948718,0.05128205128205128,11,6,19,2.1578947368421053,0.475,4,1.28125,1.3896484375,0.4992378048780488,4.277926089825635,"{2: 17, 3: 1, 4: 1}",19,0.0,0.46862967079564133
7,0.03221821581196593,0.03221821581196593,0.08974358974358976,0.469648328279194,0001111011100011010001000110010100101011,0.9677817841880341,0.875,0.9677817841880341,"{0.0: 1.0, 0.1: 0.9758613782051282, 0.2: 0.9274839743589745}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9869791666666666, 'noise=0.1;missing=0.2': 0.9647435897435898, 'noise=0.2;missing=0.0': 0.9270833333333334, 'noise=0.2;missing=0.2': 0.9278846153846154}",0.9102564102564102,0.038461538461538464,11,6,19,2.263157894736842,0.475,5,1.34375,1.9130859375,0.5486918604651163,4.1558184643976634,"{2: 15, 3: 3, 4: 1}",19,0.0,0.469648328279194
8,0.032885950854700696,0.032885950854700696,0.11538461538461542,0.44588656955295136,0101001101110001010001001010011100001011,0.9671140491452993,0.875,0.9671140491452993,"{0.0: 1.0, 0.1: 0.9828725961538461, 0.2: 0.9184695512820512}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9817708333333334, 'noise=0.1;missing=0.2': 0.9839743589743589, 'noise=0.2;missing=0.0': 0.921875, 'noise=0.2;missing=0.2': 0.9150641025641025}",0.8846153846153846,0.05128205128205128,11,6,18,2.2777777777777777,0.45,4,1.28125,1.5771484375,0.53125,4.1923218214274165,"{2: 14, 3: 3, 4: 1}",18,0.0,0.44588656955295136
9,0.033653846153846145,0.033653846153846145,0.11538461538461542,0.4449833577473958,0001111010010010101010000001011100101011,0.9663461538461539,0.8680555555555556,0.9663461538461539,"{0.0: 1.0, 0.1: 0.9742588141025642, 0.2: 0.9247796474358975}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9869791666666666, 'noise=0.1;missing=0.2': 0.9615384615384616, 'noise=0.2;missing=0.0': 0.9296875, 'noise=0.2;missing=0.2': 0.9198717948717948}",0.8846153846153846,0.0641025641025641,11,6,18,2.1666666666666665,0.45,4,1.21875,1.4833984375,0.5408653846153846,4.150410872541982,"{2: 16, 3: 1, 4: 1}",18,0.0,0.4449833577473958
