edge_id,symbols,size,joint_activation_frequency
0,4 24,2,0.25
1,21 23,2,0.25
2,15 23,2,0.25
3,0 9,2,0.20833333333333334
4,9 27,2,0.20833333333333334
5,17 27,2,0.20833333333333334
6,25 27,2,0.20833333333333334
7,2 24,2,0.20833333333333334
8,4 20,2,0.20833333333333334
9,20 24,2,0.20833333333333334
10,23 26,2,0.20833333333333334
11,9 18,2,0.20833333333333334
12,18 27,2,0.20833333333333334
13,15 21,2,0.20833333333333334
14,15 21 23,3,0.20833333333333334
15,1 9,2,0.16666666666666666
16,2 8,2,0.16666666666666666
17,8 27,2,0.16666666666666666
18,17 25,2,0.16666666666666666
19,2 4,2,0.16666666666666666
20,2 20,2,0.16666666666666666
21,4 14,2,0.16666666666666666
22,16 18,2,0.16666666666666666
23,16 21,2,0.16666666666666666
24,2 4 24,3,0.16666666666666666
25,2 20 24,3,0.16666666666666666
26,10 13 29,3,0.041666666666666664
27,1 4 24,3,0.0
28,2 6,2,0.041666666666666664
29,20 27,2,0.0
30,5 26,2,0.0
31,19 21 24 30,4,0.0
32,10 13 30,3,0.0
33,11 25,2,0.041666666666666664
