edge_id,symbols,size,joint_activation_frequency
0,20 22,2,0.3888888888888889
1,22 25,2,0.3333333333333333
2,5 14,2,0.3333333333333333
3,0 12,2,0.2777777777777778
4,12 25,2,0.2777777777777778
5,13 22,2,0.2777777777777778
6,13 25,2,0.2777777777777778
7,4 20,2,0.2777777777777778
8,5 10,2,0.2777777777777778
9,5 20,2,0.2777777777777778
10,10 14,2,0.2777777777777778
11,10 20,2,0.2777777777777778
12,14 20,2,0.2777777777777778
13,5 10 14,3,0.2777777777777778
14,5 14 20,3,0.2777777777777778
15,20 28,2,0.2777777777777778
16,22 28,2,0.2777777777777778
17,20 22 28,3,0.2777777777777778
18,12 17,2,0.2777777777777778
19,5 29,2,0.2777777777777778
20,14 29,2,0.2777777777777778
21,12 14 19 28,4,0.0
22,10 13 24 30,4,0.0
23,4 6 23,3,0.0
24,9 14 17 24,4,0.0
25,8 17 24,3,0.0
26,0 4 10 20,4,0.0
27,4 20 27 28,4,0.0
