average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,12,2.75,0.42857142857142855,6,1.03125,2.4052734375,0.6884469696969697,3.6165330442444006,"{2: 6, 3: 3, 4: 3}",12,0.0,0.4304680026307398
0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,10,2.9,0.35714285714285715,3,0.90625,1.0849609375,0.6023706896551724,3.9262723741395074,"{2: 5, 3: 1, 4: 4}",10,0.0,0.36277229153380103
1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,14,2.642857142857143,0.5,6,1.15625,2.5068359375,0.6782094594594594,3.661231405760186,"{2: 8, 3: 3, 4: 3}",14,0.0,0.4975658183195153
1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,13,2.6923076923076925,0.4642857142857143,4,1.09375,1.7099609375,0.6276785714285714,3.843010159554856,"{2: 7, 3: 3, 4: 3}",13,0.0,0.46341372599219977
1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,18,2.5555555555555554,0.6428571428571429,7,1.4375,2.99609375,0.6168478260869565,3.9194217399304727,"{2: 11, 3: 4, 4: 3}",18,4.0,0.6329724923823696
0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,16,2.4375,0.5714285714285714,5,1.21875,2.3583984375,0.6482371794871795,3.7920988609769277,"{2: 12, 3: 1, 4: 3}",16,2.0,0.5637050083705357
0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,12,2.75,0.42857142857142855,5,1.03125,1.9677734375,0.6524621212121212,3.772449620842178,"{2: 6, 3: 3, 4: 3}",12,0.0,0.43013318120216837
1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,13,2.6923076923076925,0.4642857142857143,5,1.09375,2.0224609375,0.6526785714285714,3.7725989182202797,"{2: 7, 3: 3, 4: 3}",13,0.0,0.4636528841554651
0.984375,0.9444444444444444,0.984375,"{0.0: 1.0, 0.05: 0.96875}","{'noise=0.05;missing=0.0': 0.96875, 'noise=0.0;missing=0.0': 1.0}",0.9375,0.0,5,4,11,2.8181818181818183,0.39285714285714285,5,0.96875,1.9677734375,0.6905241935483871,3.6119498434695583,"{2: 5, 3: 3, 4: 3}",11,0.0,0.39673728022814236
0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,9,2.7777777777777777,0.32142857142857145,3,0.78125,0.8583984375,0.61375,3.8634651896016474,"{2: 5, 3: 1, 4: 3}",9,0.0,0.3277154693257512
1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,14,2.7857142857142856,0.5,4,1.21875,1.8583984375,0.5969551282051282,3.9452826674137764,"{2: 7, 3: 3, 4: 4}",14,0.0,0.4981856365593112
0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,11,2.8181818181818183,0.39285714285714285,4,0.96875,1.2177734375,0.5917338709677419,3.9779168746936358,"{2: 6, 3: 1, 4: 4}",11,0.0,0.3961633006363056
