edge_id,symbols,size,joint_activation_frequency
0,29 34,2,0.3333333333333333
1,27 34,2,0.3
2,27 38,2,0.3
3,17 36,2,0.26666666666666666
4,18 29,2,0.26666666666666666
5,18 34,2,0.26666666666666666
6,34 38,2,0.26666666666666666
7,7 17,2,0.26666666666666666
8,4 27,2,0.26666666666666666
9,4 34,2,0.26666666666666666
10,26 27,2,0.26666666666666666
11,21 38,2,0.26666666666666666
12,21 33,2,0.26666666666666666
13,17 28,2,0.23333333333333334
14,20 29,2,0.23333333333333334
15,20 34,2,0.23333333333333334
16,20 36,2,0.23333333333333334
17,26 34,2,0.23333333333333334
18,34 36,2,0.23333333333333334
19,0 21,2,0.23333333333333334
20,4 26,2,0.23333333333333334
21,17 21,2,0.23333333333333334
22,33 34,2,0.23333333333333334
23,7 36,2,0.23333333333333334
24,27 28,2,0.23333333333333334
25,4 27 34,3,0.23333333333333334
26,21 34,2,0.23333333333333334
27,2 21,2,0.23333333333333334
28,8 26,2,0.2
29,16 28,2,0.0
30,27 39,2,0.06666666666666667
31,6 29 34,3,0.03333333333333333
32,13 16 38 39,4,0.0
33,25 39,2,0.03333333333333333
34,1 2,2,0.1
35,24 25,2,0.0
36,15 34,2,0.0
37,14 20 26 36,4,0.0
38,1 33,2,0.16666666666666666
39,6 23 27 37,4,0.0
40,15 24 31,3,0.0
41,24 26 28 35,4,0.0
