average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0.9087945156695157,0.7,0.9087945156695157,"{0.0: 1.0, 0.15: 0.9340170940170939, 0.3: 0.7923664529914529}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9616666666666666, 'noise=0.15;missing=0.2': 0.9416666666666667, 'noise=0.15;missing=0.35': 0.8987179487179486, 'noise=0.3;missing=0.0': 0.7566666666666667, 'noise=0.3;missing=0.2': 0.8114583333333333, 'noise=0.3;missing=0.35': 0.808974358974359}",0.6868686868686869,0.06060606060606061,8,8,18,2.2222222222222223,0.42857142857142855,6,1.0,2.05,0.68375,3.968453957701922,"{2: 16, 4: 2}",18,0.0,0.42172902494331066
0.9192574786324784,0.7407407407407407,0.9192574786324784,"{0.0: 1.0, 0.15: 0.9554594017094017, 0.3: 0.8023130341880343}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.955, 'noise=0.15;missing=0.2': 0.9729166666666667, 'noise=0.15;missing=0.35': 0.9384615384615385, 'noise=0.3;missing=0.0': 0.795, 'noise=0.3;missing=0.2': 0.7927083333333333, 'noise=0.3;missing=0.35': 0.8192307692307693}",0.7272727272727273,0.06060606060606061,8,8,17,2.176470588235294,0.40476190476190477,5,0.925,1.669375,0.6777027027027027,3.990009704040741,"{2: 15, 3: 1, 4: 1}",17,0.0,0.3986945653261304
0.9054309116809117,0.7074074074074074,0.9054309116809117,"{0.0: 1.0, 0.15: 0.9371688034188035, 0.3: 0.7791239316239316}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9616666666666667, 'noise=0.15;missing=0.2': 0.9729166666666667, 'noise=0.15;missing=0.35': 0.8769230769230769, 'noise=0.3;missing=0.0': 0.7466666666666667, 'noise=0.3;missing=0.2': 0.7791666666666667, 'noise=0.3;missing=0.35': 0.8115384615384614}",0.7272727272727273,0.04040404040404041,8,8,20,2.2,0.47619047619047616,5,1.1,1.7899999999999998,0.6227272727272727,4.217859107657963,"{2: 17, 3: 2, 4: 1}",20,0.0,0.4667397959183673
0.9072542735042735,0.7148148148148148,0.9072542735042735,"{0.0: 1.0, 0.15: 0.9399519230769231, 0.3: 0.7818108974358974}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9599999999999999, 'noise=0.15;missing=0.2': 0.9739583333333334, 'noise=0.15;missing=0.35': 0.8858974358974359, 'noise=0.3;missing=0.0': 0.7583333333333333, 'noise=0.3;missing=0.2': 0.778125, 'noise=0.3;missing=0.35': 0.808974358974359}",0.6868686868686869,0.030303030303030304,8,8,20,2.4,0.47619047619047616,7,1.2,2.7600000000000002,0.625,4.182817315121021,"{2: 15, 3: 2, 4: 3}",20,0.0,0.46831972789115645
0.9142521367521367,0.7222222222222222,0.9142521367521367,"{0.0: 1.0, 0.15: 0.9479380341880342, 0.3: 0.794818376068376}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9433333333333334, 'noise=0.15;missing=0.2': 0.9645833333333333, 'noise=0.15;missing=0.35': 0.9358974358974359, 'noise=0.3;missing=0.0': 0.7583333333333334, 'noise=0.3;missing=0.2': 0.8145833333333333, 'noise=0.3;missing=0.35': 0.8115384615384615}",0.7070707070707071,0.06060606060606061,8,8,17,2.411764705882353,0.40476190476190477,6,1.025,1.5243749999999998,0.5786585365853658,4.326706577630512,"{2: 13, 3: 1, 4: 3}",17,0.0,0.4001158338335334
0.9079059829059828,0.7111111111111111,0.9079059829059828,"{0.0: 1.0, 0.15: 0.9413942307692307, 0.3: 0.7823237179487178}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9433333333333332, 'noise=0.15;missing=0.2': 0.971875, 'noise=0.15;missing=0.35': 0.9089743589743589, 'noise=0.3;missing=0.0': 0.7400000000000001, 'noise=0.3;missing=0.2': 0.7864583333333334, 'noise=0.3;missing=0.35': 0.8205128205128206}",0.7171717171717171,0.06060606060606061,8,8,21,2.380952380952381,0.5,6,1.25,2.0875,0.584,4.361076880026372,"{2: 16, 3: 2, 4: 3}",21,0.0,0.4905909863945578
0.9055110398860399,0.7,0.9055110398860399,"{0.0: 1.0, 0.15: 0.9313942307692309, 0.3: 0.7851388888888888}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9466666666666667, 'noise=0.15;missing=0.2': 0.9552083333333333, 'noise=0.15;missing=0.35': 0.8923076923076924, 'noise=0.3;missing=0.0': 0.7866666666666667, 'noise=0.3;missing=0.2': 0.76875, 'noise=0.3;missing=0.35': 0.8}",0.6666666666666666,0.06060606060606061,8,8,20,2.25,0.47619047619047616,7,1.125,1.959375,0.6038888888888889,4.260165941546996,"{2: 17, 3: 1, 4: 2}",20,0.0,0.46710990646258493
0.9045441595441596,0.6925925925925925,0.9045441595441596,"{0.0: 1.0, 0.15: 0.9326816239316239, 0.3: 0.7809508547008547}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9366666666666666, 'noise=0.15;missing=0.2': 0.95625, 'noise=0.15;missing=0.35': 0.9051282051282051, 'noise=0.3;missing=0.0': 0.7516666666666668, 'noise=0.3;missing=0.2': 0.79375, 'noise=0.3;missing=0.35': 0.7974358974358976}",0.696969696969697,0.06060606060606061,8,8,25,2.28,0.5952380952380952,9,1.425,3.394375,0.6135964912280701,4.2669535059861206,"{2: 21, 3: 1, 4: 3}",25,4.0,0.5808807397959184
0.9058547008547008,0.7074074074074074,0.9058547008547008,"{0.0: 1.0, 0.15: 0.9330876068376068, 0.3: 0.7844764957264955}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9433333333333332, 'noise=0.15;missing=0.2': 0.9520833333333333, 'noise=0.15;missing=0.35': 0.9038461538461537, 'noise=0.3;missing=0.0': 0.7433333333333334, 'noise=0.3;missing=0.2': 0.7895833333333333, 'noise=0.3;missing=0.35': 0.8205128205128206}",0.7070707070707071,0.06060606060606061,8,8,17,2.235294117647059,0.40476190476190477,6,0.95,2.0475,0.7039473684210527,3.8758494743010163,"{2: 15, 4: 2}",17,0.0,0.3991908263305322
0.9155306267806267,0.7333333333333333,0.9155306267806267,"{0.0: 1.0, 0.15: 0.9511912393162392, 0.3: 0.795400641025641}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.945, 'noise=0.15;missing=0.2': 0.9739583333333334, 'noise=0.15;missing=0.35': 0.9346153846153846, 'noise=0.3;missing=0.0': 0.81, 'noise=0.3;missing=0.2': 0.7864583333333334, 'noise=0.3;missing=0.35': 0.7897435897435898}",0.7272727272727273,0.06060606060606061,8,8,19,2.210526315789474,0.4523809523809524,6,1.05,1.7475,0.6285714285714286,4.171264743846754,"{2: 16, 3: 2, 4: 1}",19,0.0,0.444172081990691
0.9075498575498575,0.7111111111111111,0.9075498575498575,"{0.0: 1.0, 0.15: 0.936020299145299, 0.3: 0.7866292735042736}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9616666666666667, 'noise=0.15;missing=0.2': 0.965625, 'noise=0.15;missing=0.35': 0.8807692307692307, 'noise=0.3;missing=0.0': 0.7466666666666667, 'noise=0.3;missing=0.2': 0.7927083333333333, 'noise=0.3;missing=0.35': 0.8205128205128206}",0.7171717171717171,0.030303030303030304,8,8,18,2.1666666666666665,0.42857142857142855,5,0.975,1.7743749999999998,0.6647435897435897,4.045286116898138,"{2: 16, 3: 1, 4: 1}",18,0.0,0.42128805272108844
0.9094818376068375,0.7074074074074074,0.9094818376068375,"{0.0: 1.0, 0.15: 0.9337660256410256, 0.3: 0.7946794871794871}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9233333333333333, 'noise=0.15;missing=0.2': 0.9510416666666667, 'noise=0.15;missing=0.35': 0.9269230769230768, 'noise=0.3;missing=0.0': 0.7683333333333334, 'noise=0.3;missing=0.2': 0.8041666666666667, 'noise=0.3;missing=0.35': 0.8115384615384615}",0.7171717171717171,0.06060606060606061,8,8,19,2.3684210526315788,0.4523809523809524,7,1.125,1.959375,0.5816666666666667,4.327267052850415,"{2: 15, 3: 1, 4: 3}",19,0.0,0.4452309904224847
0.9263425925925924,0.762962962962963,0.9263425925925924,"{0.0: 1.0, 0.15: 0.9696314102564104, 0.3: 0.8093963675213676}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.975, 'noise=0.15;missing=0.2': 0.9864583333333333, 'noise=0.15;missing=0.35': 0.9474358974358973, 'noise=0.3;missing=0.0': 0.8016666666666666, 'noise=0.3;missing=0.2': 0.8072916666666666, 'noise=0.3;missing=0.35': 0.8192307692307693}",0.7171717171717171,0.04040404040404041,8,8,15,2.2,0.35714285714285715,4,0.825,1.244375,0.6628787878787878,4.028946391954608,"{2: 13, 3: 1, 4: 1}",15,0.0,0.3534589710884354
