edge_id,symbols,size,joint_activation_frequency
0,7 18,2,0.2916666666666667
1,7 28,2,0.2916666666666667
2,7 21,2,0.25
3,18 28,2,0.25
4,15 28,2,0.25
5,6 7,2,0.20833333333333334
6,6 21,2,0.20833333333333334
7,4 18,2,0.20833333333333334
8,25 28,2,0.20833333333333334
9,7 18 28,3,0.20833333333333334
10,18 27,2,0.20833333333333334
11,1 21,2,0.20833333333333334
12,17 24,2,0.20833333333333334
13,21 22,2,0.20833333333333334
14,14 21,2,0.20833333333333334
15,9 14,2,0.16666666666666666
16,10 14,2,0.16666666666666666
17,10 17,2,0.16666666666666666
18,14 17,2,0.16666666666666666
19,14 26,2,0.16666666666666666
20,17 26,2,0.16666666666666666
21,6 16,2,0.16666666666666666
22,6 20,2,0.16666666666666666
23,16 21,2,0.16666666666666666
24,18 21,2,0.16666666666666666
25,20 21,2,0.16666666666666666
26,4 10,2,0.08333333333333333
27,12 14 17 23,4,0.0
28,0 21 29,3,0.0
29,8 12 26,3,0.0
30,4 6 11 26,4,0.0
31,1 24,2,0.0
32,15 25 28 29,4,0.041666666666666664
33,0 10 19 28,4,0.0
