edge_id,symbols,size,joint_activation_frequency
0,24 30,2,0.2916666666666667
1,0 23,2,0.2916666666666667
2,21 30,2,0.25
3,0 31,2,0.25
4,27 28,2,0.20833333333333334
5,21 24,2,0.20833333333333334
6,29 31,2,0.20833333333333334
7,9 30,2,0.20833333333333334
8,16 30,2,0.20833333333333334
9,2 19,2,0.20833333333333334
10,7 13,2,0.20833333333333334
11,13 27,2,0.20833333333333334
12,0 19,2,0.20833333333333334
13,19 31,2,0.20833333333333334
14,23 31,2,0.20833333333333334
15,0 23 31,3,0.20833333333333334
16,2 24,2,0.20833333333333334
17,2 30,2,0.20833333333333334
18,2 24 30,3,0.20833333333333334
19,7 25,2,0.20833333333333334
20,2 6,2,0.16666666666666666
21,2 16,2,0.16666666666666666
22,11 16,2,0.16666666666666666
23,8 28,2,0.16666666666666666
24,9 23,2,0.16666666666666666
25,20 31,2,0.16666666666666666
26,2 6 18 24,4,0.0
27,14 21 29,3,0.041666666666666664
28,9 19 24,3,0.041666666666666664
29,9 20,2,0.041666666666666664
30,14 26 28,3,0.0
31,4 24 29,3,0.0
32,12 16 31,3,0.0
33,3 8 25 28,4,0.0
