average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0.9685830662393163,0.875,0.9685830662393163,"{0.0: 1.0, 0.1: 0.96484375, 0.2: 0.9409054487179488}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9583333333333334, 'noise=0.2;missing=0.0': 0.921875, 'noise=0.2;missing=0.2': 0.9599358974358975}",0.8974358974358975,0.0641025641025641,12,6,16,2.3125,0.47058823529411764,3,1.15625,1.2568359375,0.5295608108108109,4.16812025717001,"{2: 12, 3: 3, 4: 1}",16,0.0,0.46577756677119375
0.969851762820513,0.8819444444444444,0.969851762820513,"{0.0: 1.0, 0.1: 0.9832732371794872, 0.2: 0.9262820512820512}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9921875, 'noise=0.1;missing=0.2': 0.9743589743589743, 'noise=0.2;missing=0.0': 0.8958333333333334, 'noise=0.2;missing=0.2': 0.9567307692307692}",0.8717948717948718,0.038461538461538464,12,6,18,2.388888888888889,0.5294117647058824,5,1.34375,2.0380859375,0.5588662790697675,4.106984383697434,"{2: 12, 3: 5, 4: 1}",18,1.0,0.5226622009863994
0.9457799145299144,0.8125,0.9457799145299144,"{0.0: 1.0, 0.1: 0.9572315705128206, 0.2: 0.880108173076923}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9401041666666666, 'noise=0.1;missing=0.2': 0.9743589743589743, 'noise=0.2;missing=0.0': 0.8723958333333334, 'noise=0.2;missing=0.2': 0.8878205128205128}",0.7564102564102564,0.038461538461538464,12,6,19,2.4210526315789473,0.5588235294117647,4,1.4375,1.99609375,0.5285326086956522,4.213460597220266,"{2: 13, 3: 4, 4: 2}",19,2.0,0.5508328614437261
0.9603365384615385,0.8472222222222222,0.9603365384615385,"{0.0: 1.0, 0.1: 0.96484375, 0.2: 0.9161658653846154}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9583333333333334, 'noise=0.2;missing=0.0': 0.9140625, 'noise=0.2;missing=0.2': 0.9182692307692308}",0.8589743589743589,0.038461538461538464,12,6,19,2.210526315789474,0.5588235294117647,4,1.3125,1.77734375,0.5520833333333334,4.129947184477478,"{2: 16, 3: 2, 4: 1}",19,2.0,0.5490745865393372
0.9694845085470085,0.8819444444444444,0.9694845085470085,"{0.0: 1.0, 0.1: 0.9736578525641025, 0.2: 0.934795673076923}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9759615384615384, 'noise=0.2;missing=0.0': 0.9401041666666666, 'noise=0.2;missing=0.2': 0.9294871794871794}",0.8846153846153846,0.02564102564102564,12,6,18,2.2222222222222223,0.5294117647058824,4,1.25,1.4375,0.5265625,4.177567157116929,"{2: 15, 3: 2, 4: 1}",18,1.0,0.5210483948481354
0.9677483974358974,0.8680555555555556,0.9677483974358974,"{0.0: 1.0, 0.1: 0.9720552884615384, 0.2: 0.9311899038461539}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9921875, 'noise=0.1;missing=0.2': 0.951923076923077, 'noise=0.2;missing=0.0': 0.9296875, 'noise=0.2;missing=0.2': 0.9326923076923076}",0.8205128205128205,0.038461538461538464,12,6,15,2.2666666666666666,0.4411764705882353,3,1.0625,0.74609375,0.4430147058823529,4.35937791471612,"{2: 11, 3: 4}",15,0.0,0.4372132262831603
0.9624399038461537,0.8611111111111112,0.9624399038461537,"{0.0: 1.0, 0.1: 0.9632411858974358, 0.2: 0.9240785256410255}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9551282051282052, 'noise=0.2;missing=0.0': 0.921875, 'noise=0.2;missing=0.2': 0.9262820512820514}",0.8589743589743589,0.02564102564102564,12,6,21,2.4285714285714284,0.6176470588235294,5,1.59375,2.1162109375,0.47855392156862747,4.347252617942595,"{2: 14, 3: 5, 4: 2}",21,4.0,0.6068362995473925
0.9700186965811967,0.8819444444444444,0.9700186965811967,"{0.0: 1.0, 0.1: 0.9736578525641025, 0.2: 0.9363982371794872}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9759615384615384, 'noise=0.2;missing=0.0': 0.9192708333333334, 'noise=0.2;missing=0.2': 0.953525641025641}",0.8846153846153846,0.05128205128205128,12,6,16,2.25,0.47058823529411764,4,1.125,1.296875,0.546875,4.107017709595357,"{2: 13, 3: 2, 4: 1}",16,0.0,0.46531006704152245
0.9603365384615385,0.8472222222222222,0.9603365384615385,"{0.0: 1.0, 0.1: 0.96484375, 0.2: 0.9161658653846154}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9583333333333334, 'noise=0.2;missing=0.0': 0.9140625, 'noise=0.2;missing=0.2': 0.9182692307692308}",0.8589743589743589,0.038461538461538464,12,6,17,2.176470588235294,0.5,4,1.15625,1.3818359375,0.5515202702702703,4.100816878908575,"{2: 15, 3: 1, 4: 1}",17,0.0,0.4927208923551038
0.9697849893162392,0.8819444444444444,0.9697849893162392,"{0.0: 1.0, 0.1: 0.9704527243589745, 0.2: 0.9389022435897436}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.969551282051282, 'noise=0.2;missing=0.0': 0.953125, 'noise=0.2;missing=0.2': 0.9246794871794872}",0.8974358974358975,0.038461538461538464,12,6,17,2.235294117647059,0.5,3,1.1875,1.27734375,0.5213815789473685,4.14860021052734,"{2: 14, 3: 2, 4: 1}",17,0.0,0.4931262164792387
